==================================================
Training Metrics
==================================================
R2: 0.996912758918511
RMSE: 155.05816243392263
MAE: 73.26496799639803
MAPE: 4.013320177324975
COV: 0.0881472983992992
mu_xi: 1.0065051567399788
rati_mean: 1.0065051567399788
sigma_xi: 0.08872071039159232
median_xi: 0.9992208756457752
RMSE_ratio: 0.08887629681281428
MAE_ratio: 0.040133201773249756
within_5pct: 81.52985074626866
within_10pct: 92.3507462686567
within_20pct: 97.01492537313433
mean_prediction: 3026.471923828125
mean_actual: 3027.6408582089553
std_prediction: 2786.197265625
std_actual: 2790.6756346018533

==================================================
Test Metrics
==================================================
R2: 0.9684704773354698
RMSE: 402.21384072972467
MAE: 172.9957494843896
MAPE: 7.239210941515157
COV: 0.1037540625410715
mu_xi: 1.0165256568519165
rati_mean: 1.0165256568519165
sigma_xi: 0.10546866657561754
median_xi: 1.003924138356989
RMSE_ratio: 0.10636599422553707
MAE_ratio: 0.07239210941515158
within_5pct: 52.98507462686567
within_10pct: 75.3731343283582
within_20pct: 92.53731343283582
mean_prediction: 2572.89794921875
mean_actual: 2517.8854477611944
std_prediction: 2384.6044921875
std_actual: 2265.1570236205775
