==================================================
Training Metrics
==================================================
R2: 0.9963663419497126
RMSE: 168.22145620596763
MAE: 93.06080026427313
MAPE: 5.1073574635097385
COV: 0.10094456946818492
mu_xi: 1.0108642800158614
rati_mean: 1.0108642800158614
sigma_xi: 0.10204125953696785
median_xi: 1.0008680581365077
RMSE_ratio: 0.10252329039764602
MAE_ratio: 0.05107357463509739
within_5pct: 71.82835820895522
within_10pct: 89.92537313432835
within_20pct: 96.0820895522388
mean_prediction: 3028.882568359375
mean_actual: 3027.6408582089553
std_prediction: 2782.41259765625
std_actual: 2790.6756346018533

==================================================
Test Metrics
==================================================
R2: 0.9706141981367812
RMSE: 388.2997279277185
MAE: 158.4825011387156
MAPE: 7.159975394897191
COV: 0.10960192191714178
mu_xi: 1.0189088412309284
rati_mean: 1.0189088412309284
sigma_xi: 0.11167436725727763
median_xi: 0.9979076879748032
RMSE_ratio: 0.11285229367936657
MAE_ratio: 0.07159975394897188
within_5pct: 63.43283582089553
within_10pct: 76.86567164179104
within_20pct: 90.29850746268657
mean_prediction: 2566.867919921875
mean_actual: 2517.8854477611944
std_prediction: 2378.099365234375
std_actual: 2265.1570236205775
