==================================================
Training Metrics
==================================================
R2: 0.9962777526453149
MSE: 28988.380358174403
RMSE: 170.25974379804055
MAE: 94.54048662100264
MAPE: 5.085111047483974
COV: 0.09604522377824148
mu_xi: 1.0105685140141365
rati_mean: 1.0105685140141365
sigma_xi: 0.0970602790717327
median_xi: 1.0029035901269814
RMSE_ratio: 0.09754391489615209
MAE_ratio: 0.05085111047483974
within_5pct: 70.1492537313433
within_10pct: 89.73880597014924
within_20pct: 95.52238805970148
mean_prediction: 3028.57421875
mean_actual: 3027.6408582089553
std_prediction: 2784.48095703125
std_actual: 2790.6756346018533

==================================================
Test Metrics
==================================================
R2: 0.9879438893192045
MSE: 61859.13643114036
RMSE: 248.71497025941233
MAE: 141.82710120357686
MAPE: 6.954381638151204
COV: 0.09627119705108607
mu_xi: 1.0100810280742338
rati_mean: 1.0100810280742338
sigma_xi: 0.09724170969129817
median_xi: 1.003452966983459
RMSE_ratio: 0.0974012856121604
MAE_ratio: 0.06954381638151204
within_5pct: 52.98507462686567
within_10pct: 74.6268656716418
within_20pct: 94.77611940298507
mean_prediction: 2538.703857421875
mean_actual: 2517.8854477611944
std_prediction: 2320.793212890625
std_actual: 2265.1570236205775
