==================================================
Training Metrics
==================================================
R2: 0.9964319206560268
RMSE: 166.69655022190253
MAE: 90.49648600336332
MAPE: 4.811914923114298
COV: 0.09405893923065092
mu_xi: 1.0091001797146648
rati_mean: 1.0091001797146648
sigma_xi: 0.09491489248142058
median_xi: 1.0019217381838774
RMSE_ratio: 0.09526196803671445
MAE_ratio: 0.04811914923114298
within_5pct: 71.64179104477611
within_10pct: 90.48507462686567
within_20pct: 97.01492537313433
mean_prediction: 3027.205322265625
mean_actual: 3027.6408582089553
std_prediction: 2783.518798828125
std_actual: 2790.6756346018533

==================================================
Test Metrics
==================================================
R2: 0.9777865765583544
RMSE: 337.60281635283894
MAE: 159.41888893241315
MAPE: 7.066789228240207
COV: 0.09572517508568462
mu_xi: 1.0179098315154975
rati_mean: 1.0179098315154975
sigma_xi: 0.09743959684326073
median_xi: 1.0071769479848038
RMSE_ratio: 0.09871364042826009
MAE_ratio: 0.07066789228240208
within_5pct: 50.0
within_10pct: 76.86567164179104
within_20pct: 94.77611940298507
mean_prediction: 2567.362548828125
mean_actual: 2517.8854477611944
std_prediction: 2370.0283203125
std_actual: 2265.1570236205775
