==================================================
Training Metrics
==================================================
R2: 0.997036219056343
RMSE: 151.92610760609247
MAE: 68.24926454117049
MAPE: 3.673133294181346
COV: 0.08740238618523047
mu_xi: 1.0073872148379197
rati_mean: 1.0073872148379197
sigma_xi: 0.08804804638932759
median_xi: 1.00101700421718
RMSE_ratio: 0.08827551118012045
MAE_ratio: 0.03673133294181346
within_5pct: 84.51492537313433
within_10pct: 93.84328358208955
within_20pct: 97.01492537313433
mean_prediction: 3028.11279296875
mean_actual: 3027.6408582089553
std_prediction: 2785.877685546875
std_actual: 2790.6756346018533

==================================================
Test Metrics
==================================================
R2: 0.9722203028074338
RMSE: 377.53921370578524
MAE: 161.20731321420243
MAPE: 6.755286680928411
COV: 0.10348404059117582
mu_xi: 1.0192432273626129
rati_mean: 1.0192432273626129
sigma_xi: 0.10547540751267367
median_xi: 1.005858968570741
RMSE_ratio: 0.10682855677021708
MAE_ratio: 0.06755286680928412
within_5pct: 56.71641791044776
within_10pct: 76.86567164179104
within_20pct: 94.02985074626866
mean_prediction: 2570.9013671875
mean_actual: 2517.8854477611944
std_prediction: 2354.87158203125
std_actual: 2265.1570236205775
